The total number of occurrences of characters in the file is 5086
The total number of non-whitespace is  4247
The total number of letter is4109
`has showed up 0times
ahas showed up 355times
bhas showed up 39times
chas showed up 148times
dhas showed up 192times
ehas showed up 521times
fhas showed up 110times
ghas showed up 44times
hhas showed up 149times
ihas showed up 290times
jhas showed up 2times
khas showed up 16times
lhas showed up 170times
mhas showed up 175times
nhas showed up 337times
ohas showed up 318times
phas showed up 72times
qhas showed up 7times
rhas showed up 239times
shas showed up 235times
thas showed up 347times
uhas showed up 115times
vhas showed up 28times
whas showed up 20times
xhas showed up 55times
yhas showed up 46times
zhas showed up 1times
{has showed up 0times
|has showed up 0times
}has showed up 0times
~has showed up 0times
has showed up 0times
The total number of occurrences of characters in the file is 5086
The total number of non-whitespace is  4247
The total number of letter is4109
 has showed up 763times
!has showed up 0times
"has showed up 0times
#has showed up 0times
$has showed up 0times
%has showed up 0times
&has showed up 0times
'has showed up 0times
(has showed up 0times
)has showed up 0times
*has showed up 0times
+has showed up 0times
,has showed up 24times
-has showed up 6times
.has showed up 42times
/has showed up 5times
0has showed up 8times
1has showed up 8times
2has showed up 6times
3has showed up 3times
4has showed up 1times
5has showed up 2times
6has showed up 0times
7has showed up 0times
8has showed up 1times
9has showed up 4times
:has showed up 9times
;has showed up 1times
<has showed up 0times
=has showed up 0times
>has showed up 0times
?has showed up 0times
@has showed up 0times
Ahas showed up 8times
Bhas showed up 0times
Chas showed up 8times
Dhas showed up 3times
Ehas showed up 10times
Fhas showed up 6times
Ghas showed up 0times
Hhas showed up 1times
Ihas showed up 3times
Jhas showed up 1times
Khas showed up 0times
Lhas showed up 1times
Mhas showed up 4times
Nhas showed up 1times
Ohas showed up 1times
Phas showed up 3times
Qhas showed up 0times
Rhas showed up 4times
Shas showed up 5times
Thas showed up 8times
Uhas showed up 4times
Vhas showed up 0times
Whas showed up 7times
Xhas showed up 0times
Yhas showed up 0times
Zhas showed up 0times
[has showed up 0times
\has showed up 0times
]has showed up 0times
^has showed up 0times
_has showed up 0times
`has showed up 0times
ahas showed up 355times
bhas showed up 39times
chas showed up 148times
dhas showed up 192times
ehas showed up 521times
fhas showed up 110times
ghas showed up 44times
hhas showed up 149times
ihas showed up 290times
jhas showed up 2times
khas showed up 16times
lhas showed up 170times
mhas showed up 175times
nhas showed up 337times
ohas showed up 318times
phas showed up 72times
qhas showed up 7times
rhas showed up 239times
shas showed up 235times
thas showed up 347times
uhas showed up 115times
vhas showed up 28times
whas showed up 20times
xhas showed up 55times
yhas showed up 46times
zhas showed up 1times
{has showed up 0times
|has showed up 0times
}has showed up 0times
~has showed up 0times
has showed up 0times
The total number of occurrences of characters in the file is 5086
The total number of non-whitespace is  4247
The total number of letter is4109
 has showed up 763times
!has showed up 0times
"has showed up 0times
#has showed up 0times
$has showed up 0times
%has showed up 0times
&has showed up 0times
'has showed up 0times
(has showed up 0times
)has showed up 0times
*has showed up 0times
+has showed up 0times
,has showed up 24times
-has showed up 6times
.has showed up 42times
/has showed up 5times
0has showed up 8times
1has showed up 8times
2has showed up 6times
3has showed up 3times
4has showed up 1times
5has showed up 2times
6has showed up 0times
7has showed up 0times
8has showed up 1times
9has showed up 4times
:has showed up 9times
;has showed up 1times
<has showed up 0times
=has showed up 0times
>has showed up 0times
?has showed up 0times
@has showed up 0times
Ahas showed up 8times
Bhas showed up 0times
Chas showed up 8times
Dhas showed up 3times
Ehas showed up 10times
Fhas showed up 6times
Ghas showed up 0times
Hhas showed up 1times
Ihas showed up 3times
Jhas showed up 1times
Khas showed up 0times
Lhas showed up 1times
Mhas showed up 4times
Nhas showed up 1times
Ohas showed up 1times
Phas showed up 3times
Qhas showed up 0times
Rhas showed up 4times
Shas showed up 5times
Thas showed up 8times
Uhas showed up 4times
Vhas showed up 0times
Whas showed up 7times
Xhas showed up 0times
Yhas showed up 0times
Zhas showed up 0times
[has showed up 0times
\has showed up 0times
]has showed up 0times
^has showed up 0times
_has showed up 0times
`has showed up 0times
ahas showed up 355times
bhas showed up 39times
chas showed up 148times
dhas showed up 192times
ehas showed up 521times
fhas showed up 110times
ghas showed up 44times
hhas showed up 149times
ihas showed up 290times
jhas showed up 2times
khas showed up 16times
lhas showed up 170times
mhas showed up 175times
nhas showed up 337times
ohas showed up 318times
phas showed up 72times
qhas showed up 7times
rhas showed up 239times
shas showed up 235times
thas showed up 347times
uhas showed up 115times
vhas showed up 28times
whas showed up 20times
xhas showed up 55times
yhas showed up 46times
zhas showed up 1times
{has showed up 0times
|has showed up 0times
}has showed up 0times
~has showed up 0times
has showed up 0times
The total number of occurrences of characters in the file is 5086
The total number of non-whitespace is  4247
The total number of letter is4109
 has showed up 763times
!has showed up 0times
"has showed up 0times
#has showed up 0times
$has showed up 0times
%has showed up 0times
&has showed up 0times
'has showed up 0times
(has showed up 0times
)has showed up 0times
*has showed up 0times
+has showed up 0times
,has showed up 24times
-has showed up 6times
.has showed up 42times
/has showed up 5times
0has showed up 8times
1has showed up 8times
2has showed up 6times
3has showed up 3times
4has showed up 1times
5has showed up 2times
6has showed up 0times
7has showed up 0times
8has showed up 1times
9has showed up 4times
:has showed up 9times
;has showed up 1times
<has showed up 0times
=has showed up 0times
>has showed up 0times
?has showed up 0times
@has showed up 0times
Ahas showed up 8times
Bhas showed up 0times
Chas showed up 8times
Dhas showed up 3times
Ehas showed up 10times
Fhas showed up 6times
Ghas showed up 0times
Hhas showed up 1times
Ihas showed up 3times
Jhas showed up 1times
Khas showed up 0times
Lhas showed up 1times
Mhas showed up 4times
Nhas showed up 1times
Ohas showed up 1times
Phas showed up 3times
Qhas showed up 0times
Rhas showed up 4times
Shas showed up 5times
Thas showed up 8times
Uhas showed up 4times
Vhas showed up 0times
Whas showed up 7times
Xhas showed up 0times
Yhas showed up 0times
Zhas showed up 0times
[has showed up 0times
\has showed up 0times
]has showed up 0times
^has showed up 0times
_has showed up 0times
`has showed up 0times
ahas showed up 355times
bhas showed up 39times
chas showed up 148times
dhas showed up 192times
ehas showed up 521times
fhas showed up 110times
ghas showed up 44times
hhas showed up 149times
ihas showed up 290times
jhas showed up 2times
khas showed up 16times
lhas showed up 170times
mhas showed up 175times
nhas showed up 337times
ohas showed up 318times
phas showed up 72times
qhas showed up 7times
rhas showed up 239times
shas showed up 235times
thas showed up 347times
uhas showed up 115times
vhas showed up 28times
whas showed up 20times
xhas showed up 55times
yhas showed up 46times
zhas showed up 1times
{has showed up 0times
|has showed up 0times
}has showed up 0times
~has showed up 0times
has showed up 0times
The total number of occurrences of characters in the file is 5086
The total number of letter is4109
 has showed up 763times
!has showed up 0times
"has showed up 0times
#has showed up 0times
$has showed up 0times
%has showed up 0times
&has showed up 0times
'has showed up 0times
(has showed up 0times
)has showed up 0times
*has showed up 0times
+has showed up 0times
,has showed up 24times
-has showed up 6times
.has showed up 42times
/has showed up 5times
0has showed up 8times
1has showed up 8times
2has showed up 6times
3has showed up 3times
4has showed up 1times
5has showed up 2times
6has showed up 0times
7has showed up 0times
8has showed up 1times
9has showed up 4times
:has showed up 9times
;has showed up 1times
<has showed up 0times
=has showed up 0times
>has showed up 0times
?has showed up 0times
@has showed up 0times
Ahas showed up 8times
Bhas showed up 0times
Chas showed up 8times
Dhas showed up 3times
Ehas showed up 10times
Fhas showed up 6times
Ghas showed up 0times
Hhas showed up 1times
Ihas showed up 3times
Jhas showed up 1times
Khas showed up 0times
Lhas showed up 1times
Mhas showed up 4times
Nhas showed up 1times
Ohas showed up 1times
Phas showed up 3times
Qhas showed up 0times
Rhas showed up 4times
Shas showed up 5times
Thas showed up 8times
Uhas showed up 4times
Vhas showed up 0times
Whas showed up 7times
Xhas showed up 0times
Yhas showed up 0times
Zhas showed up 0times
[has showed up 0times
\has showed up 0times
]has showed up 0times
^has showed up 0times
_has showed up 0times
`has showed up 0times
ahas showed up 355times
bhas showed up 39times
chas showed up 148times
dhas showed up 192times
ehas showed up 521times
fhas showed up 110times
ghas showed up 44times
hhas showed up 149times
ihas showed up 290times
jhas showed up 2times
khas showed up 16times
lhas showed up 170times
mhas showed up 175times
nhas showed up 337times
ohas showed up 318times
phas showed up 72times
qhas showed up 7times
rhas showed up 239times
shas showed up 235times
thas showed up 347times
uhas showed up 115times
vhas showed up 28times
whas showed up 20times
xhas showed up 55times
yhas showed up 46times
zhas showed up 1times
{has showed up 0times
|has showed up 0times
}has showed up 0times
~has showed up 0times
has showed up 0times
